Employee_Id,Full_Name,Age,Education_Level,Hire_Date,Exit_Date,Department,Job_Role,Job_Level,Employment_Type,Base_Salary_Annual,Store_Location,Store_Location_Latitude,Store_Location_Longitude,Store_Id,Manager_Id,Manager_Name,Manager_Status,Is_Active,Tenure_Days,Exit_YearMonth,Age_Group
EMP000016,Amber Kidd,28,Some College,2021-10-24,,Store Operations,Sales Associate,Associate,Full-time,30200.85,Fort Worth,32.7555,-97.3308,STR053,EMP001224,Raymond Quinn,Manager,True,1164,,Millennial
EMP000017,Tracy House,52,High School,2014-06-02,,Store Operations,Sales Associate,Associate,Full-time,31650.91,Dallas,32.7767,-96.797,STR007,EMP001026,Brandon Kelly,Manager,True,3865,,Gen X
EMP000018,Carol Tucker,36,Some College,2019-04-28,,Store Operations,Cashier,Entry,Full-time,27247.56,San Antonio,29.4241,-98.4936,STR109,EMP001447,Sonya Jackson,Manager,True,2074,,Millennial
EMP000019,James Brown,25,High School,2021-10-24,,Store Operations,Cashier,Entry,Part-time,15791.67,Fort Worth,32.7555,-97.3308,STR019,EMP001680,Zachary Santiago,Manager,True,1164,,Gen Z
EMP000020,William Baker,42,Some College,2020-02-24,,Store Operations,Cashier,Entry,Full-time,24912.29,Louisville,38.2527,-85.7585,STR001,EMP002163,Mr. William Ward,Manager,True,1772,,Gen X
EMP000021,Jordan Henderson,36,Bachelor's,2021-06-13,,Store Operations,Cashier,Entry,Seasonal,11247.41,Phoenix,33.4484,-112.074,STR149,EMP002493,Eric Williams,Manager,True,1297,,Millennial
EMP000022,Whitney Peters,29,Some College,2019-05-26,,Store Operations,Sales Associate,Associate,Full-time,29673.93,Seattle,47.6062,-122.3321,STR001,EMP002827,Amanda Wright,Manager,True,2046,,Millennial
EMP000023,Brittney Phillips,29,Some College,2021-10-03,2024-12-02,Store Operations,Cashier,Entry,Full-time,24921.45,Las Vegas,36.1699,-115.1398,STR060,EMP001131,Michelle Walls,Executive,False,1156,2024-12,Millennial
EMP000024,Lauren Daniels,26,High School,2021-04-14,,Store Operations,Sales Associate,Associate,Part-time,19437.81,Nashville,36.1627,-86.7816,STR046,EMP002456,Jennifer Moore,Executive,True,1357,,Millennial
EMP000025,Amy Silva,26,High School,2016-02-03,,Store Operations,Sales Associate,Associate,Full-time,33472.84,Denver,39.7392,-104.9903,STR118,EMP000529,Melissa Bishop,Senior Manager,True,3254,,Millennial
EMP000026,Sarah Moore,48,Master's,2018-12-21,2019-04-18,Store Operations,Cashier,Entry,Part-time,17911.06,Detroit,42.3314,-83.0458,STR098,EMP001305,Tina Walter,Senior Manager,False,118,2019-04,Gen X
EMP000027,Angela Lopez,34,High School,2018-10-17,,Store Operations,Sales Associate,Associate,Full-time,30396.09,Houston,29.7604,-95.3698,STR110,EMP001823,Nicholas Fitzgerald,Senior Manager,True,2267,,Millennial
EMP000028,Megan Young,33,Master's,2019-07-25,,Store Operations,Sales Associate,Associate,Full-time,34170.81,New York,40.7128,-74.006,STR118,EMP002436,Miranda Murray,Senior Manager,True,1986,,Millennial
EMP000029,Steve Sanchez,40,High School,2020-11-14,,Store Operations,Cashier,Entry,Part-time,16754.49,Charlotte,35.2271,-80.8431,STR038,EMP002585,Kara Rogers,Senior Manager,True,1508,,Millennial
EMP000030,Lisa Barnes,37,Bachelor's,2016-11-12,,Store Operations,Sales Associate,Associate,Full-time,28557.4,Phoenix,33.4484,-112.074,STR030,EMP002684,David James,Senior Manager,True,2971,,Millennial
EMP000031,Kelly Donovan,43,Some College,2018-10-18,2019-06-30,Store Operations,Sales Associate,Associate,Contractor,38819.59,Louisville,38.2527,-85.7585,STR126,EMP002712,Scott Meza,Senior Manager,False,255,2019-06,Gen X
EMP000032,Mike Allen,30,Bachelor's,2020-01-29,,Store Operations,Sales Associate,Associate,Full-time,30046.29,Boston,42.3601,-71.0589,STR025,EMP000053,Rebecca Valencia,Manager,True,1798,,Millennial
EMP000033,Michael Evans,35,Bachelor's,2021-01-28,,Store Operations,Cashier,Entry,Full-time,22650.52,Columbus,39.9612,-82.9988,STR012,EMP000121,Jamie Walton,Manager,True,1433,,Millennial
EMP000034,Paul Jones,26,High School,2021-02-25,,Store Operations,Cashier,Entry,Full-time,31488.86,Denver,39.7392,-104.9903,STR094,EMP000240,Briana Murray,Manager,True,1405,,Millennial
EMP000035,Zachary Ferrell,35,Bachelor's,2021-07-22,,Store Operations,Cashier,Entry,Full-time,31656.32,Chicago,41.8781,-87.6298,STR014,EMP000520,Michael Johnson,Manager,True,1258,,Millennial
EMP000036,Daniel Baker,38,Some College,2020-06-07,,Store Operations,Cashier,Entry,Full-time,30083.97,San Jose,37.3382,-121.8863,STR015,EMP000767,Tamara Riddle,Manager,True,1668,,Millennial
EMP000037,Shirley Suarez,21,Some College,2021-01-31,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23741.52,Charlotte,35.2271,-80.8431,STR111,EMP001224,Raymond Quinn,Manager,True,1430,,Gen Z
EMP000038,Christopher Bass,33,Master's,2020-10-06,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,36465.08,Fort Worth,32.7555,-97.3308,STR064,EMP001447,Sonya Jackson,Manager,True,1547,,Millennial
EMP000039,Lisa Archer,27,Bachelor's,2020-07-15,,Store Operations,Sales Associate,Associate,Part-time,21726.48,San Diego,32.7157,-117.1611,STR137,EMP001680,Zachary Santiago,Manager,True,1630,,Millennial
EMP000040,Aimee Montoya,31,High School,2012-01-04,2020-10-10,Store Operations,Cashier,Entry,Seasonal,10560.61,Louisville,38.2527,-85.7585,STR118,EMP002163,Mr. William Ward,Manager,False,3202,2020-10,Millennial
EMP000041,Matthew Mcmillan,24,High School,2018-01-03,2022-05-16,Store Operations,Cashier,Entry,Full-time,23220.38,Philadelphia,39.9526,-75.1652,STR020,EMP002493,Eric Williams,Manager,False,1594,2022-05,Gen Z
EMP000042,Brian Rodriguez,51,High School,2021-08-20,,Store Operations,Sales Associate,Associate,Full-time,33942.12,Los Angeles,34.0522,-118.2437,STR010,EMP002827,Amanda Wright,Manager,True,1229,,Gen X
EMP000043,Denise Jacobs,28,Some College,2019-07-01,,Store Operations,Cashier,Entry,Full-time,22343.89,Jacksonville,30.3322,-81.6557,STR094,EMP001131,Michelle Walls,Executive,True,2010,,Millennial
EMP000044,Christina Walters,42,Bachelor's,2016-02-01,2023-02-08,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,48639.81,Austin,30.2672,-97.7431,STR040,EMP002456,Jennifer Moore,Executive,False,2564,2023-02,Gen X
EMP000045,John Whitehead,27,Bachelor's,2021-08-11,,Store Operations,Sales Associate,Associate,Full-time,31105.36,San Diego,32.7157,-117.1611,STR089,EMP000529,Melissa Bishop,Senior Manager,True,1238,,Millennial
EMP000046,Anna Henderson,29,High School,2019-04-07,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44937.83,Columbus,39.9612,-82.9988,STR145,EMP001305,Tina Walter,Senior Manager,True,2095,,Millennial
EMP000047,Aaron Wise,33,High School,2020-10-07,,Store Operations,Cashier,Entry,Full-time,25117.11,San Antonio,29.4241,-98.4936,STR015,EMP001823,Nicholas Fitzgerald,Senior Manager,True,1546,,Millennial
EMP000048,Deborah Figueroa,31,Bachelor's,2012-01-04,,Store Operations,Sales Associate,Associate,Full-time,34240.82,San Jose,37.3382,-121.8863,STR086,EMP002436,Miranda Murray,Senior Manager,True,4745,,Millennial
EMP000049,Jessica Smith,41,Some College,2021-08-25,,Store Operations,Cashier,Entry,Part-time,16480.26,Baltimore,39.2904,-76.6122,STR036,EMP002585,Kara Rogers,Senior Manager,True,1224,,Gen X
EMP000050,Stephen Mckee,32,Bachelor's,2016-10-07,,Store Operations,Cashier,Entry,Full-time,23848.54,Jacksonville,30.3322,-81.6557,STR111,EMP002684,David James,Senior Manager,True,3007,,Millennial
EMP000051,Sandra Aguilar,36,High School,2019-04-25,,Store Operations,Cashier,Entry,Full-time,31695.85,Las Vegas,36.1699,-115.1398,STR051,EMP002712,Scott Meza,Senior Manager,True,2077,,Millennial
EMP000052,Cameron Parker,32,Bachelor's,2021-09-19,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,27976.2,Nashville,36.1627,-86.7816,STR057,EMP000053,Rebecca Valencia,Manager,True,1199,,Millennial
EMP000053,Rebecca Valencia,26,High School,2021-02-09,,Store Operations,Store Manager,Manager,Full-time,83184.97,San Antonio,29.4241,-98.4936,STR025,EMP002684,David James,Senior Manager,True,1421,,Millennial
EMP000054,Christine Wright,31,Bachelor's,2019-01-27,,Store Operations,Sales Associate,Associate,Full-time,38737.93,Memphis,35.1495,-90.049,STR025,EMP000053,Rebecca Valencia,Manager,True,2165,,Millennial
EMP000055,Richard Henson,25,Master's,2021-06-17,2024-12-27,Store Operations,Cashier,Entry,Full-time,27979.0,Denver,39.7392,-104.9903,STR148,EMP001305,Tina Walter,Senior Manager,False,1289,2024-12,Gen Z
EMP000056,Marc Moore,38,Bachelor's,2021-03-11,,Store Operations,Cashier,Entry,Part-time,18731.25,Seattle,47.6062,-122.3321,STR029,EMP000121,Jamie Walton,Manager,True,1391,,Millennial
EMP000057,Sharon Cherry,43,High School,2020-09-24,,Store Operations,Cashier,Entry,Part-time,13730.96,San Jose,37.3382,-121.8863,STR008,EMP000240,Briana Murray,Manager,True,1559,,Gen X
EMP000058,Sierra Johnson,23,Bachelor's,2019-09-28,2021-02-05,Store Operations,Cashier,Entry,Seasonal,9583.93,Memphis,35.1495,-90.049,STR135,EMP000520,Michael Johnson,Manager,False,496,2021-02,Gen Z
EMP000059,Evelyn Galvan,51,High School,2021-02-04,,Store Operations,Sales Associate,Associate,Part-time,17125.64,Memphis,35.1495,-90.049,STR035,EMP000767,Tamara Riddle,Manager,True,1426,,Gen X
EMP000060,Sharon Cochran,39,High School,2014-10-21,,Store Operations,Sales Associate,Associate,Full-time,31903.96,Portland,45.5152,-122.6784,STR007,EMP001026,Brandon Kelly,Manager,True,3724,,Millennial
EMP000061,Richard Rodriguez,34,Bachelor's,2020-10-21,2024-04-30,Store Operations,Shift Supervisor,Supervisor,Full-time,48996.19,Phoenix,33.4484,-112.074,STR130,EMP001224,Raymond Quinn,Manager,False,1287,2024-04,Millennial
EMP000062,Shannon Walker,22,Master's,2020-03-30,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39070.24,Memphis,35.1495,-90.049,STR108,EMP001447,Sonya Jackson,Manager,True,1737,,Gen Z
EMP000063,Julia Torres,22,Some College,2020-07-20,,Store Operations,Cashier,Entry,Full-time,30287.38,Columbus,39.9612,-82.9988,STR103,EMP001680,Zachary Santiago,Manager,True,1625,,Gen Z
EMP000064,Crystal Johnson,31,Bachelor's,2020-05-15,,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,24210.78,Philadelphia,39.9526,-75.1652,STR128,EMP002163,Mr. William Ward,Manager,True,1691,,Millennial
EMP000065,Garrett Lin,32,Bachelor's,2019-03-20,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39214.02,Fort Worth,32.7555,-97.3308,STR134,EMP002493,Eric Williams,Manager,True,2113,,Millennial
EMP000066,Diana May,21,Bachelor's,2021-07-31,,Store Operations,Cashier,Entry,Full-time,27426.96,Austin,30.2672,-97.7431,STR046,EMP002827,Amanda Wright,Manager,True,1249,,Gen Z
EMP000067,William Herrera,32,Master's,2021-11-06,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,37113.86,Detroit,42.3314,-83.0458,STR039,EMP001131,Michelle Walls,Executive,True,1151,,Millennial
EMP000068,Ashley Waller,35,Some College,2015-12-15,,Store Operations,Cashier,Entry,Full-time,30021.97,Los Angeles,34.0522,-118.2437,STR081,EMP002456,Jennifer Moore,Executive,True,3304,,Millennial
EMP000069,Victor Baker,21,High School,2021-01-20,2021-04-23,Store Operations,Sales Associate,Associate,Part-time,17336.76,Nashville,36.1627,-86.7816,STR039,EMP000529,Melissa Bishop,Senior Manager,False,93,2021-04,Gen Z
EMP000070,Jeffrey Chandler,29,PhD,2020-01-19,,Store Operations,Sales Associate,Associate,Part-time,23905.59,Charlotte,35.2271,-80.8431,STR017,EMP001823,Nicholas Fitzgerald,Senior Manager,True,1808,,Millennial
EMP000071,Larry Dixon,43,Master's,2019-03-08,2022-09-15,Store Operations,Sales Associate,Associate,Full-time,37266.94,Denver,39.7392,-104.9903,STR109,EMP002436,Miranda Murray,Senior Manager,False,1287,2022-09,Gen X
EMP000072,Kenneth Scott,37,Master's,2020-03-01,,Store Operations,Sales Associate,Associate,Full-time,30384.59,Detroit,42.3314,-83.0458,STR115,EMP002585,Kara Rogers,Senior Manager,True,1766,,Millennial
EMP000073,April Frost,43,Bachelor's,2019-09-27,,Store Operations,Cashier,Entry,Full-time,22055.22,Houston,29.7604,-95.3698,STR108,EMP002684,David James,Senior Manager,True,1922,,Gen X
EMP000074,Michelle Harmon,21,Bachelor's,2021-02-28,,Store Operations,Cashier,Entry,Full-time,30154.61,Detroit,42.3314,-83.0458,STR055,EMP002712,Scott Meza,Senior Manager,True,1402,,Gen Z
EMP000075,Helen Jones,36,High School,2021-11-04,,Store Operations,Cashier,Entry,Full-time,29068.57,San Jose,37.3382,-121.8863,STR016,EMP002585,Kara Rogers,Senior Manager,True,1153,,Millennial
EMP000076,Erin Edwards,29,High School,2021-02-07,,Store Operations,Cashier,Entry,Full-time,29290.07,Boston,42.3601,-71.0589,STR142,EMP000121,Jamie Walton,Manager,True,1423,,Millennial
EMP000077,Michelle Evans,31,Bachelor's,2020-12-09,,Store Operations,Sales Associate,Associate,Seasonal,14902.1,Columbus,39.9612,-82.9988,STR124,EMP000240,Briana Murray,Manager,True,1483,,Millennial
EMP000078,Jason Powell,37,Bachelor's,2016-11-16,2023-08-31,Store Operations,Sales Associate,Associate,Contractor,31777.39,Columbus,39.9612,-82.9988,STR148,EMP001305,Tina Walter,Senior Manager,False,2479,2023-08,Millennial
EMP000079,Cameron Fisher,26,Some College,2021-07-20,,Store Operations,Cashier,Entry,Part-time,15350.79,San Jose,37.3382,-121.8863,STR009,EMP000520,Michael Johnson,Manager,True,1260,,Millennial
EMP000080,Megan Orr,27,High School,2020-07-10,2024-07-21,Store Operations,Sales Associate,Associate,Part-time,17634.26,Phoenix,33.4484,-112.074,STR120,EMP000767,Tamara Riddle,Manager,False,1472,2024-07,Millennial
EMP000081,Elizabeth Kelley,28,High School,2021-09-13,,Store Operations,Cashier,Entry,Part-time,18378.62,Los Angeles,34.0522,-118.2437,STR040,EMP001026,Brandon Kelly,Manager,True,1205,,Millennial
EMP000082,Dustin Jordan,36,High School,2020-12-24,,Store Operations,Cashier,Entry,Full-time,28232.98,Fort Worth,32.7555,-97.3308,STR060,EMP001224,Raymond Quinn,Manager,True,1468,,Millennial
EMP000083,Mary Marshall,22,Some College,2020-01-15,,Store Operations,Cashier,Entry,Part-time,15185.39,San Diego,32.7157,-117.1611,STR033,EMP001447,Sonya Jackson,Manager,True,1812,,Gen Z
EMP000084,Daniel Kennedy,24,Master's,2021-08-18,,Store Operations,Sales Associate,Associate,Full-time,28762.7,San Antonio,29.4241,-98.4936,STR100,EMP001680,Zachary Santiago,Manager,True,1231,,Gen Z
EMP000085,Rebecca Jackson,34,Master's,2017-05-17,,Store Operations,Cashier,Entry,Full-time,25109.82,Jacksonville,30.3322,-81.6557,STR082,EMP002163,Mr. William Ward,Manager,True,2785,,Millennial
EMP000086,Jose Schultz,35,Bachelor's,2021-04-06,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39877.75,Nashville,36.1627,-86.7816,STR088,EMP002493,Eric Williams,Manager,True,1365,,Millennial
EMP000087,Robert Potter,35,Bachelor's,2021-02-01,2022-06-08,Store Operations,Cashier,Entry,Part-time,17577.64,Denver,39.7392,-104.9903,STR148,EMP001305,Tina Walter,Senior Manager,False,492,2022-06,Millennial
EMP000088,Courtney Gonzalez,33,Bachelor's,2019-04-21,,Store Operations,Sales Associate,Associate,Full-time,35650.69,Houston,29.7604,-95.3698,STR014,EMP002827,Amanda Wright,Manager,True,2081,,Millennial
EMP000089,David Alvarez,21,Bachelor's,2021-11-08,2023-06-17,Store Operations,Cashier,Entry,Full-time,30872.13,Houston,29.7604,-95.3698,STR058,EMP001131,Michelle Walls,Executive,False,586,2023-06,Gen Z
EMP000090,Angel Perry,43,High School,2020-09-08,,Store Operations,Cashier,Entry,Full-time,26722.15,Denver,39.7392,-104.9903,STR084,EMP002456,Jennifer Moore,Executive,True,1575,,Gen X
EMP000091,Cheyenne Horton,21,Master's,2021-02-26,,Store Operations,Cashier,Entry,Full-time,23195.94,San Diego,32.7157,-117.1611,STR012,EMP000529,Melissa Bishop,Senior Manager,True,1404,,Gen Z
EMP000092,David Douglas Jr.,26,Bachelor's,2021-07-03,,Store Operations,Cashier,Entry,Part-time,17479.47,Memphis,35.1495,-90.049,STR131,EMP001823,Nicholas Fitzgerald,Senior Manager,True,1277,,Millennial
EMP000093,Patricia Rodriguez,41,Some College,2020-07-25,,Store Operations,Sales Associate,Associate,Full-time,37129.42,Los Angeles,34.0522,-118.2437,STR063,EMP002436,Miranda Murray,Senior Manager,True,1620,,Gen X
EMP000094,Christopher Rubio,34,Some College,2021-03-10,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43419.16,Austin,30.2672,-97.7431,STR082,EMP002684,David James,Senior Manager,True,1392,,Millennial
EMP000095,Amber Wright,33,PhD,2021-11-30,,Store Operations,Cashier,Entry,Full-time,29709.67,New York,40.7128,-74.006,STR080,EMP002712,Scott Meza,Senior Manager,True,1127,,Millennial
EMP000096,Joyce Solis,34,Bachelor's,2021-12-25,,Store Operations,Sales Associate,Associate,Full-time,33925.55,Los Angeles,34.0522,-118.2437,STR077,EMP000053,Rebecca Valencia,Manager,True,1102,,Millennial
EMP000097,Victoria Larson,39,Master's,2018-03-25,,Store Operations,Cashier,Entry,Full-time,27227.33,San Antonio,29.4241,-98.4936,STR123,EMP002827,Amanda Wright,Manager,True,2473,,Millennial
EMP000098,Stephanie Salazar,23,Bachelor's,2021-03-23,,Store Operations,Cashier,Entry,Part-time,15765.25,Austin,30.2672,-97.7431,STR062,EMP000121,Jamie Walton,Manager,True,1379,,Gen Z
EMP000099,Kathy Rivas,42,Bachelor's,2020-09-07,,Store Operations,Sales Associate,Associate,Full-time,28305.03,Fort Worth,32.7555,-97.3308,STR012,EMP000240,Briana Murray,Manager,True,1576,,Gen X
EMP000100,Stephanie Manning,32,High School,2021-02-16,,Store Operations,Cashier,Entry,Part-time,13847.35,Boston,42.3601,-71.0589,STR032,EMP000520,Michael Johnson,Manager,True,1414,,Millennial
EMP000101,David Wright,36,High School,2020-07-07,2024-10-31,Store Operations,Sales Associate,Associate,Part-time,17026.29,Memphis,35.1495,-90.049,STR097,EMP000767,Tamara Riddle,Manager,False,1577,2024-10,Millennial
EMP000102,Pamela Boyd,21,Some College,2021-01-27,2022-10-10,Store Operations,Sales Associate,Associate,Full-time,35636.92,Houston,29.7604,-95.3698,STR096,EMP002456,Jennifer Moore,Executive,False,621,2022-10,Gen Z
EMP000103,Denise Jones,29,Bachelor's,2021-04-17,,Store Operations,Sales Associate,Associate,Full-time,31772.27,Chicago,41.8781,-87.6298,STR018,EMP001026,Brandon Kelly,Manager,True,1354,,Millennial
EMP000104,Devon Flores,39,Bachelor's,2020-11-12,,Store Operations,Cashier,Entry,Seasonal,10834.28,Las Vegas,36.1699,-115.1398,STR069,EMP001224,Raymond Quinn,Manager,True,1510,,Millennial
EMP000105,Brenda Hall,37,Bachelor's,2021-01-10,,Store Operations,Cashier,Entry,Part-time,18645.4,New York,40.7128,-74.006,STR028,EMP001447,Sonya Jackson,Manager,True,1451,,Millennial
EMP000106,Michelle Brown,21,Bachelor's,2021-09-11,,Store Operations,Sales Associate,Associate,Full-time,30991.51,San Jose,37.3382,-121.8863,STR118,EMP001680,Zachary Santiago,Manager,True,1207,,Gen Z
EMP000107,Joshua Perry,30,High School,2020-01-23,,Store Operations,Cashier,Entry,Full-time,26103.83,Jacksonville,30.3322,-81.6557,STR121,EMP002436,Miranda Murray,Senior Manager,True,1804,,Millennial
EMP000108,Jason Stein,25,Some College,2017-12-06,2021-10-19,Store Operations,Cashier,Entry,Part-time,17733.31,Baltimore,39.2904,-76.6122,STR148,EMP001305,Tina Walter,Senior Manager,False,1413,2021-10,Gen Z
EMP000109,Melissa Gates,21,Bachelor's,2021-07-27,,Store Operations,Sales Associate,Associate,Full-time,30745.58,Austin,30.2672,-97.7431,STR020,EMP002163,Mr. William Ward,Manager,True,1253,,Gen Z
EMP000110,Jamie Smith,36,Some College,2021-02-23,2022-07-03,Store Operations,Cashier,Entry,Full-time,22769.8,Seattle,47.6062,-122.3321,STR038,EMP002493,Eric Williams,Manager,False,495,2022-07,Millennial
EMP000111,Paul Castaneda,25,High School,2021-07-19,,Store Operations,Sales Associate,Associate,Part-time,18886.21,Austin,30.2672,-97.7431,STR034,EMP001131,Michelle Walls,Executive,True,1261,,Gen Z
EMP000112,Jennifer Adkins,36,Bachelor's,2020-06-30,,Store Operations,Cashier,Entry,Part-time,14167.33,New York,40.7128,-74.006,STR072,EMP000529,Melissa Bishop,Senior Manager,True,1645,,Millennial
EMP000113,Lindsey Walker,24,Master's,2019-09-12,,Store Operations,Cashier,Entry,Full-time,31296.98,Seattle,47.6062,-122.3321,STR063,EMP001823,Nicholas Fitzgerald,Senior Manager,True,1937,,Gen Z
EMP000114,Jeffrey Johnson,44,Bachelor's,2021-10-18,,Store Operations,Sales Associate,Associate,Part-time,22618.47,Boston,42.3601,-71.0589,STR132,EMP002585,Kara Rogers,Senior Manager,True,1170,,Gen X
EMP000115,Michael Powell,38,Some College,2020-12-21,,Store Operations,Cashier,Entry,Full-time,28334.04,Louisville,38.2527,-85.7585,STR143,EMP002684,David James,Senior Manager,True,1471,,Millennial
EMP000116,John Anderson,28,Master's,2020-04-10,,Store Operations,Cashier,Entry,Full-time,30714.61,Dallas,32.7767,-96.797,STR110,EMP002712,Scott Meza,Senior Manager,True,1726,,Millennial
EMP000117,Alyssa Long,32,High School,2020-07-29,,Store Operations,Cashier,Entry,Full-time,30036.72,Charlotte,35.2271,-80.8431,STR048,EMP000053,Rebecca Valencia,Manager,True,1616,,Millennial
EMP000118,Alyssa Day,41,Bachelor's,2020-04-04,,Store Operations,Sales Associate,Associate,Full-time,30238.84,Charlotte,35.2271,-80.8431,STR107,EMP000121,Jamie Walton,Manager,True,1732,,Gen X
EMP000119,Joel Williams,29,Some College,2021-10-08,2024-02-27,Store Operations,Sales Associate,Associate,Full-time,38710.71,Los Angeles,34.0522,-118.2437,STR035,EMP000240,Briana Murray,Manager,False,872,2024-02,Millennial
EMP000120,Daniel Murphy,36,Bachelor's,2020-11-01,,Store Operations,Cashier,Entry,Full-time,27393.42,Memphis,35.1495,-90.049,STR039,EMP000520,Michael Johnson,Manager,True,1521,,Millennial
EMP000121,Jamie Walton,27,Master's,2018-04-19,,Store Operations,Store Manager,Manager,Full-time,79223.2,Dallas,32.7767,-96.797,STR119,EMP002712,Scott Meza,Senior Manager,True,2448,,Millennial
EMP000122,Darlene Miller,31,Master's,2019-09-22,,Store Operations,Cashier,Entry,Seasonal,12384.37,Boston,42.3601,-71.0589,STR049,EMP000767,Tamara Riddle,Manager,True,1927,,Millennial
EMP000123,Joshua Cooke,37,Some College,2018-05-16,,Store Operations,Cashier,Entry,Full-time,25180.03,Detroit,42.3314,-83.0458,STR049,EMP001026,Brandon Kelly,Manager,True,2421,,Millennial
EMP000124,Matthew Harrington,38,Some College,2021-07-28,,Store Operations,Sales Associate,Associate,Full-time,29320.62,Louisville,38.2527,-85.7585,STR138,EMP001224,Raymond Quinn,Manager,True,1252,,Millennial
EMP000125,Nicole Herring,25,High School,2020-10-11,2024-08-15,Store Operations,Sales Associate,Associate,Contractor,33808.74,Fort Worth,32.7555,-97.3308,STR019,EMP001447,Sonya Jackson,Manager,False,1404,2024-08,Gen Z
EMP000126,Alex Hernandez,44,High School,2021-10-22,2023-08-01,Store Operations,Cashier,Entry,Full-time,26271.08,Los Angeles,34.0522,-118.2437,STR070,EMP001680,Zachary Santiago,Manager,False,648,2023-08,Gen X
