Employee_id,Full_Name,Age,Age_Group,Education_Level,Department,Job_Role,Job_Level,Employment_Type,Base_Salary_Annual,Manager_Id,Store_Id,Hire_Date,Exit_Date,Is_Active,Tenure_Days
EMP000043,Denise Jacobs,28,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,22343.890625,EMP001131,STR094,2019-07-01,NULL,1,2010
EMP000044,Christina Walters,42,Gen X,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,48639.80859375,EMP002456,STR040,2016-02-01,2023-02-08,0,2564
EMP000045,John Whitehead,27,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,31105.359375,EMP000529,STR089,2021-08-11,NULL,1,1238
EMP000046,Anna Henderson,29,Millennial,High School,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44937.828125,EMP001305,STR145,2019-04-07,NULL,1,2095
EMP000047,Aaron Wise,33,Millennial,High School,Store Operations,Cashier,Entry,Full-time,25117.109375,EMP001823,STR015,2020-10-07,NULL,1,1546
EMP000048,Deborah Figueroa,31,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,34240.8203125,EMP002436,STR086,2012-01-04,NULL,1,4745
EMP000049,Jessica Smith,41,Gen X,Some College,Store Operations,Cashier,Entry,Part-time,16480.259765625,EMP002585,STR036,2021-08-25,NULL,1,1224
EMP000050,Stephen Mckee,32,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,23848.5390625,EMP002684,STR111,2016-10-07,NULL,1,3007
EMP000051,Sandra Aguilar,36,Millennial,High School,Store Operations,Cashier,Entry,Full-time,31695.849609375,EMP002712,STR051,2019-04-25,NULL,1,2077
EMP000052,Cameron Parker,32,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,27976.19921875,EMP000053,STR057,2021-09-19,NULL,1,1199
EMP000053,Rebecca Valencia,26,Millennial,High School,Store Operations,Store Manager,Manager,Full-time,83184.96875,EMP002684,STR025,2021-02-09,NULL,1,1421
EMP000054,Christine Wright,31,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,38737.9296875,EMP000053,STR025,2019-01-27,NULL,1,2165
EMP000055,Richard Henson,25,Gen Z,Master's,Store Operations,Cashier,Entry,Full-time,27979,EMP001305,STR148,2021-06-17,2024-12-27,0,1289
EMP000056,Marc Moore,38,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,18731.25,EMP000121,STR029,2021-03-11,NULL,1,1391
EMP000057,Sharon Cherry,43,Gen X,High School,Store Operations,Cashier,Entry,Part-time,13730.9599609375,EMP000240,STR008,2020-09-24,NULL,1,1559
EMP000058,Sierra Johnson,23,Gen Z,Bachelor's,Store Operations,Cashier,Entry,Seasonal,9583.9296875,EMP000520,STR135,2019-09-28,2021-02-05,0,496
EMP000059,Evelyn Galvan,51,Gen X,High School,Store Operations,Sales Associate,Associate,Part-time,17125.640625,EMP000767,STR035,2021-02-04,NULL,1,1426
EMP000060,Sharon Cochran,39,Millennial,High School,Store Operations,Sales Associate,Associate,Full-time,31903.9609375,EMP001026,STR007,2014-10-21,NULL,1,3724
EMP000061,Richard Rodriguez,34,Millennial,Bachelor's,Store Operations,Shift Supervisor,Supervisor,Full-time,48996.19140625,EMP001224,STR130,2020-10-21,2024-04-30,0,1287
EMP000062,Shannon Walker,22,Gen Z,Master's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39070.23828125,EMP001447,STR108,2020-03-30,NULL,1,1737
EMP000063,Julia Torres,22,Gen Z,Some College,Store Operations,Cashier,Entry,Full-time,30287.380859375,EMP001680,STR103,2020-07-20,NULL,1,1625
EMP000064,Crystal Johnson,31,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,24210.779296875,EMP002163,STR128,2020-05-15,NULL,1,1691
EMP000065,Garrett Lin,32,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39214.01953125,EMP002493,STR134,2019-03-20,NULL,1,2113
EMP000066,Diana May,21,Gen Z,Bachelor's,Store Operations,Cashier,Entry,Full-time,27426.9609375,EMP002827,STR046,2021-07-31,NULL,1,1249
EMP000067,William Herrera,32,Millennial,Master's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,37113.859375,EMP001131,STR039,2021-11-06,NULL,1,1151
EMP000068,Ashley Waller,35,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,30021.970703125,EMP002456,STR081,2015-12-15,NULL,1,3304
EMP000069,Victor Baker,21,Gen Z,High School,Store Operations,Sales Associate,Associate,Part-time,17336.759765625,EMP000529,STR039,2021-01-20,2021-04-23,0,93
EMP000070,Jeffrey Chandler,29,Millennial,PhD,Store Operations,Sales Associate,Associate,Part-time,23905.58984375,EMP001823,STR017,2020-01-19,NULL,1,1808
EMP000071,Larry Dixon,43,Gen X,Master's,Store Operations,Sales Associate,Associate,Full-time,37266.94140625,EMP002436,STR109,2019-03-08,2022-09-15,0,1287
EMP000072,Kenneth Scott,37,Millennial,Master's,Store Operations,Sales Associate,Associate,Full-time,30384.58984375,EMP002585,STR115,2020-03-01,NULL,1,1766
EMP000073,April Frost,43,Gen X,Bachelor's,Store Operations,Cashier,Entry,Full-time,22055.220703125,EMP002684,STR108,2019-09-27,NULL,1,1922
EMP000074,Michelle Harmon,21,Gen Z,Bachelor's,Store Operations,Cashier,Entry,Full-time,30154.609375,EMP002712,STR055,2021-02-28,NULL,1,1402
EMP000075,Helen Jones,36,Millennial,High School,Store Operations,Cashier,Entry,Full-time,29068.5703125,EMP002585,STR016,2021-11-04,NULL,1,1153
EMP000076,Erin Edwards,29,Millennial,High School,Store Operations,Cashier,Entry,Full-time,29290.0703125,EMP000121,STR142,2021-02-07,NULL,1,1423
EMP000077,Michelle Evans,31,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Seasonal,14902.099609375,EMP000240,STR124,2020-12-09,NULL,1,1483
EMP000078,Jason Powell,37,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Contractor,31777.390625,EMP001305,STR148,2016-11-16,2023-08-31,0,2479
EMP000079,Cameron Fisher,26,Millennial,Some College,Store Operations,Cashier,Entry,Part-time,15350.7900390625,EMP000520,STR009,2021-07-20,NULL,1,1260
EMP000080,Megan Orr,27,Millennial,High School,Store Operations,Sales Associate,Associate,Part-time,17634.259765625,EMP000767,STR120,2020-07-10,2024-07-21,0,1472
EMP000081,Elizabeth Kelley,28,Millennial,High School,Store Operations,Cashier,Entry,Part-time,18378.619140625,EMP001026,STR040,2021-09-13,NULL,1,1205
EMP000082,Dustin Jordan,36,Millennial,High School,Store Operations,Cashier,Entry,Full-time,28232.98046875,EMP001224,STR060,2020-12-24,NULL,1,1468
EMP000083,Mary Marshall,22,Gen Z,Some College,Store Operations,Cashier,Entry,Part-time,15185.3896484375,EMP001447,STR033,2020-01-15,NULL,1,1812
EMP000084,Daniel Kennedy,24,Gen Z,Master's,Store Operations,Sales Associate,Associate,Full-time,28762.69921875,EMP001680,STR100,2021-08-18,NULL,1,1231
EMP000085,Rebecca Jackson,34,Millennial,Master's,Store Operations,Cashier,Entry,Full-time,25109.8203125,EMP002163,STR082,2017-05-17,NULL,1,2785
EMP000086,Jose Schultz,35,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39877.75,EMP002493,STR088,2021-04-06,NULL,1,1365
EMP000087,Robert Potter,35,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,17577.640625,EMP001305,STR148,2021-02-01,2022-06-08,0,492
EMP000088,Courtney Gonzalez,33,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,35650.69140625,EMP002827,STR014,2019-04-21,NULL,1,2081
EMP000089,David Alvarez,21,Gen Z,Bachelor's,Store Operations,Cashier,Entry,Full-time,30872.130859375,EMP001131,STR058,2021-11-08,2023-06-17,0,586
EMP000090,Angel Perry,43,Gen X,High School,Store Operations,Cashier,Entry,Full-time,26722.150390625,EMP002456,STR084,2020-09-08,NULL,1,1575
EMP000091,Cheyenne Horton,21,Gen Z,Master's,Store Operations,Cashier,Entry,Full-time,23195.939453125,EMP000529,STR012,2021-02-26,NULL,1,1404
EMP000092,David Douglas Jr.,26,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,17479.470703125,EMP001823,STR131,2021-07-03,NULL,1,1277
EMP000093,Patricia Rodriguez,41,Gen X,Some College,Store Operations,Sales Associate,Associate,Full-time,37129.421875,EMP002436,STR063,2020-07-25,NULL,1,1620
EMP000094,Christopher Rubio,34,Millennial,Some College,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43419.16015625,EMP002684,STR082,2021-03-10,NULL,1,1392
EMP000095,Amber Wright,33,Millennial,PhD,Store Operations,Cashier,Entry,Full-time,29709.669921875,EMP002712,STR080,2021-11-30,NULL,1,1127
EMP000096,Joyce Solis,34,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,33925.55078125,EMP000053,STR077,2021-12-25,NULL,1,1102
EMP000097,Victoria Larson,39,Millennial,Master's,Store Operations,Cashier,Entry,Full-time,27227.330078125,EMP002827,STR123,2018-03-25,NULL,1,2473
EMP000098,Stephanie Salazar,23,Gen Z,Bachelor's,Store Operations,Cashier,Entry,Part-time,15765.25,EMP000121,STR062,2021-03-23,NULL,1,1379
EMP000099,Kathy Rivas,42,Gen X,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,28305.029296875,EMP000240,STR012,2020-09-07,NULL,1,1576
EMP000100,Stephanie Manning,32,Millennial,High School,Store Operations,Cashier,Entry,Part-time,13847.349609375,EMP000520,STR032,2021-02-16,NULL,1,1414
EMP000101,David Wright,36,Millennial,High School,Store Operations,Sales Associate,Associate,Part-time,17026.2890625,EMP000767,STR097,2020-07-07,2024-10-31,0,1577
EMP000102,Pamela Boyd,21,Gen Z,Some College,Store Operations,Sales Associate,Associate,Full-time,35636.921875,EMP002456,STR096,2021-01-27,2022-10-10,0,621
EMP000103,Denise Jones,29,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,31772.26953125,EMP001026,STR018,2021-04-17,NULL,1,1354
EMP000104,Devon Flores,39,Millennial,Bachelor's,Store Operations,Cashier,Entry,Seasonal,10834.2802734375,EMP001224,STR069,2020-11-12,NULL,1,1510
EMP000105,Brenda Hall,37,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,18645.400390625,EMP001447,STR028,2021-01-10,NULL,1,1451
EMP000106,Michelle Brown,21,Gen Z,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,30991.509765625,EMP001680,STR118,2021-09-11,NULL,1,1207
EMP000107,Joshua Perry,30,Millennial,High School,Store Operations,Cashier,Entry,Full-time,26103.830078125,EMP002436,STR121,2020-01-23,NULL,1,1804
EMP000108,Jason Stein,25,Gen Z,Some College,Store Operations,Cashier,Entry,Part-time,17733.310546875,EMP001305,STR148,2017-12-06,2021-10-19,0,1413
EMP000109,Melissa Gates,21,Gen Z,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,30745.580078125,EMP002163,STR020,2021-07-27,NULL,1,1253
EMP000110,Jamie Smith,36,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,22769.80078125,EMP002493,STR038,2021-02-23,2022-07-03,0,495
EMP000111,Paul Castaneda,25,Gen Z,High School,Store Operations,Sales Associate,Associate,Part-time,18886.2109375,EMP001131,STR034,2021-07-19,NULL,1,1261
EMP000112,Jennifer Adkins,36,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,14167.330078125,EMP000529,STR072,2020-06-30,NULL,1,1645
EMP000113,Lindsey Walker,24,Gen Z,Master's,Store Operations,Cashier,Entry,Full-time,31296.98046875,EMP001823,STR063,2019-09-12,NULL,1,1937
EMP000114,Jeffrey Johnson,44,Gen X,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,22618.470703125,EMP002585,STR132,2021-10-18,NULL,1,1170
EMP000115,Michael Powell,38,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,28334.0390625,EMP002684,STR143,2020-12-21,NULL,1,1471
EMP000116,John Anderson,28,Millennial,Master's,Store Operations,Cashier,Entry,Full-time,30714.609375,EMP002712,STR110,2020-04-10,NULL,1,1726
EMP000117,Alyssa Long,32,Millennial,High School,Store Operations,Cashier,Entry,Full-time,30036.720703125,EMP000053,STR048,2020-07-29,NULL,1,1616
EMP000118,Alyssa Day,41,Gen X,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,30238.83984375,EMP000121,STR107,2020-04-04,NULL,1,1732
EMP000119,Joel Williams,29,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,38710.7109375,EMP000240,STR035,2021-10-08,2024-02-27,0,872
EMP000120,Daniel Murphy,36,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,27393.419921875,EMP000520,STR039,2020-11-01,NULL,1,1521
EMP000121,Jamie Walton,27,Millennial,Master's,Store Operations,Store Manager,Manager,Full-time,79223.203125,EMP002712,STR119,2018-04-19,NULL,1,2448
EMP000122,Darlene Miller,31,Millennial,Master's,Store Operations,Cashier,Entry,Seasonal,12384.3701171875,EMP000767,STR049,2019-09-22,NULL,1,1927
EMP000123,Joshua Cooke,37,Millennial,Some College,Store Operations,Cashier,Entry,Full-time,25180.029296875,EMP001026,STR049,2018-05-16,NULL,1,2421
EMP000124,Matthew Harrington,38,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,29320.619140625,EMP001224,STR138,2021-07-28,NULL,1,1252
EMP000125,Nicole Herring,25,Gen Z,High School,Store Operations,Sales Associate,Associate,Contractor,33808.73828125,EMP001447,STR019,2020-10-11,2024-08-15,0,1404
EMP000126,Alex Hernandez,44,Gen X,High School,Store Operations,Cashier,Entry,Full-time,26271.080078125,EMP001680,STR070,2021-10-22,2023-08-01,0,648
EMP000127,Michael Elliott,32,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,37816.1796875,EMP002163,STR086,2021-04-23,NULL,1,1348
EMP000128,Michael Wang,36,Millennial,Master's,Store Operations,Cashier,Entry,Full-time,30607.310546875,EMP002493,STR077,2012-01-04,NULL,1,4745
EMP000129,Lawrence Adkins,33,Millennial,Some College,Store Operations,Sales Associate,Associate,Contractor,30891.76953125,EMP002827,STR030,2018-11-29,2020-01-18,0,415
EMP000130,Robert Oconnell,26,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,34128.96875,EMP001131,STR032,2018-10-19,NULL,1,2265
EMP000131,Alexander Collins,26,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,26174.109375,EMP002456,STR055,2020-12-14,NULL,1,1478
EMP000132,Tina Sanders,25,Gen Z,Some College,Store Operations,Cashier,Entry,Full-time,24221.080078125,EMP000529,STR035,2017-10-29,NULL,1,2620
EMP000133,Angela Vaughn,25,Gen Z,High School,Store Operations,Sales Associate,Associate,Full-time,29438.380859375,EMP001823,STR020,2021-10-26,NULL,1,1162
EMP000134,Ashley Barton,42,Gen X,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,32051.380859375,EMP002436,STR125,2017-08-31,NULL,1,2679
EMP000135,Lindsay Martinez,26,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,39314.921875,EMP002585,STR128,2021-12-12,NULL,1,1115
EMP000136,Dr. Hannah Patterson,29,Millennial,High School,Store Operations,Cashier,Entry,Full-time,25232.029296875,EMP002684,STR031,2021-04-16,NULL,1,1355
EMP000137,Jonathan Peterson,46,Gen X,High School,Store Operations,Cashier,Entry,Full-time,27187.91015625,EMP002712,STR115,2019-11-20,NULL,1,1868
EMP000138,Samantha Garcia,40,Millennial,High School,Store Operations,Cashier,Entry,Full-time,29030.189453125,EMP000053,STR124,2012-01-04,NULL,1,4745
EMP000139,Madison Poole,22,Gen Z,High School,Store Operations,Sales Associate,Associate,Full-time,32363.560546875,EMP000529,STR133,2020-12-31,NULL,1,1461
EMP000140,Jessica Gross,29,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,39661.37890625,EMP002493,STR013,2021-05-06,NULL,1,1335
EMP000141,Debra Morton,23,Gen Z,Some College,Store Operations,Cashier,Entry,Full-time,31624.470703125,EMP000121,STR034,2019-09-24,NULL,1,1925
EMP000142,Karen Graham,26,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,18612.830078125,EMP000240,STR105,2019-12-02,NULL,1,1856
EMP000143,Debra Christian,25,Gen Z,Master's,Store Operations,Cashier,Entry,Part-time,16183.490234375,EMP000520,STR034,2017-12-23,NULL,1,2565
EMP000144,Angelica Keith,27,Millennial,Some College,Store Operations,Sales Associate,Associate,Part-time,18966.3203125,EMP000767,STR101,2021-11-07,2024-04-05,0,880
EMP000145,John Bishop,21,Gen Z,High School,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39272.609375,EMP001026,STR005,2021-01-22,NULL,1,1439
EMP000146,Allen Rosales,23,Gen Z,High School,Store Operations,Sales Associate,Associate,Part-time,17065.58984375,EMP001224,STR073,2021-12-16,NULL,1,1111
EMP000147,Daniel Salinas,36,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44143.46875,EMP001447,STR002,2014-12-18,NULL,1,3666
EMP000148,Spencer Haynes,32,Millennial,Bachelor's,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,42540.19140625,EMP001680,STR059,2019-08-31,NULL,1,1949
EMP000149,Adam Vaughan,27,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,22514.7890625,EMP000121,STR119,2021-07-10,NULL,1,1270
EMP000150,Nathan Freeman,31,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,14871.8798828125,EMP002163,STR086,2018-12-03,NULL,1,2220
EMP000151,Melissa Brewer,37,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,31082.66015625,EMP002827,STR097,2018-04-10,NULL,1,2457
EMP000152,Ricky Davis II,25,Gen Z,High School,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23156.060546875,EMP000520,STR106,2021-10-15,NULL,1,1173
EMP000153,Elizabeth Perkins,41,Gen X,Some College,Store Operations,Cashier,Entry,Part-time,14069.3701171875,EMP001131,STR066,2021-07-03,NULL,1,1277
EMP000154,Joseph Coleman,31,Millennial,Bachelor's,Store Operations,Cashier,Entry,Part-time,16136.7197265625,EMP002436,STR121,2017-11-16,NULL,1,2602
EMP000155,Erin Warner,23,Gen Z,Some College,Store Operations,Sales Associate,Associate,Part-time,23896.6796875,EMP002456,STR037,2020-12-08,2021-11-11,0,338
EMP000156,David Martinez,31,Millennial,Bachelor's,Store Operations,Cashier,Entry,Full-time,24420.55078125,EMP001305,STR014,2021-01-15,2022-02-14,0,395
EMP000157,Bryan Herrera,47,Gen X,High School,Store Operations,Cashier,Entry,Full-time,28721.359375,EMP001823,STR150,2018-06-04,NULL,1,2402
EMP000158,Cathy Robinson,41,Gen X,Bachelor's,Store Operations,Cashier,Entry,Full-time,29616.19921875,EMP002163,STR146,2018-03-09,2023-09-11,0,2012
EMP000159,Dr. William Warren,33,Millennial,Some College,Store Operations,Sales Associate,Associate,Full-time,30851.650390625,EMP002585,STR047,2020-10-21,NULL,1,1532
EMP000160,Brian Lee,35,Millennial,High School,Store Operations,Cashier,Entry,Full-time,29282.16015625,EMP002684,STR113,2021-07-04,NULL,1,1276
EMP000161,Christopher Smith,33,Millennial,High School,Store Operations,Sales Associate,Associate,Part-time,19448.0390625,EMP002712,STR049,2021-05-06,NULL,1,1335
EMP000162,Denise Mccann,29,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Part-time,21352.599609375,EMP000053,STR041,2021-10-26,NULL,1,1162
EMP000163,Melissa Martinez,33,Millennial,High School,Store Operations,Sales Associate,Associate,Full-time,35602.359375,EMP000240,STR014,2021-11-05,NULL,1,1152
EMP000164,Katherine Salas,35,Millennial,High School,Store Operations,Cashier,Entry,Part-time,16414.650390625,EMP000767,STR082,2017-12-03,2021-10-21,0,1418
EMP000165,Julie Alexander,31,Millennial,Master's,Store Operations,Cashier,Entry,Full-time,22902.900390625,EMP001026,STR120,2019-02-12,NULL,1,2149
EMP000166,Anthony Everett,31,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,38023.62890625,EMP001224,STR085,2019-09-05,NULL,1,1944
EMP000167,Rodney Morales,26,Millennial,Bachelor's,Store Operations,Sales Associate,Associate,Full-time,31849.359375,EMP001447,STR043,2021-10-19,NULL,1,1169
EMP000168,Mark Brown,44,Gen X,Master's,Store Operations,Cashier,Entry,Full-time,23865.189453125,EMP001680,STR112,2021-06-10,2024-07-17,0,1133
EMP000169,Justin Torres,26,Millennial,Bachelor's,Store Operations,Cashier,Entry,Seasonal,8963.099609375,EMP002493,STR049,2020-06-06,2021-05-22,0,350
